pulseheight,counts,
1.342281879,0,
4.026845638,0,
6.711409396,0,
9.395973154,0,
12.08053691,0,
14.76510067,0,
17.44966443,0,
20.13422819,0,
22.81879195,0,
25.5033557,0,
28.18791946,0,
30.87248322,0,
33.55704698,0,
36.24161074,0,
38.9261745,1,
41.61073826,1,
44.29530201,4,
46.97986577,1,
49.66442953,1,
52.34899329,2,
55.03355705,7,
57.71812081,12,
60.40268456,9,
63.08724832,11,
65.77181208,31,
68.45637584,46,
71.1409396,54,
73.82550336,86,
76.51006711,117,
79.19463087,167,
81.87919463,153,
84.56375839,68,
87.24832215,18,
89.93288591,5,
92.61744966,2,
95.30201342,0,
97.98657718,3,
100.6711409,2,
103.3557047,6,
106.0402685,1,
108.7248322,0,
111.409396,1,
114.0939597,4,
116.7785235,4,
119.4630872,1,
122.147651,2,
124.8322148,3,
127.5167785,3,
130.2013423,3,
132.885906,2,
135.5704698,2,
138.2550336,4,
140.9395973,2,
143.6241611,5,
146.3087248,3,
148.9932886,3,
151.6778523,4,
154.3624161,3,
157.0469799,2,
159.7315436,3,
162.4161074,1,
165.1006711,1,
167.7852349,2,
170.4697987,0,
173.1543624,1,
175.8389262,0,
178.5234899,0,
181.2080537,0,
183.8926174,0,
186.5771812,1,
189.261745,0,
191.9463087,0,
194.6308725,0,
197.3154362,0,
200,0,
202.6845638,0,
205.3691275,0,
208.0536913,0,
210.738255,0,
213.4228188,0,
216.1073826,0,
218.7919463,0,
221.4765101,0,
224.1610738,0,
226.8456376,0,
229.5302013,0,
232.2147651,0,
234.8993289,0,
237.5838926,0,
240.2684564,0,
242.9530201,0,
245.6375839,0,
248.3221477,0,
251.0067114,0,
253.6912752,0,
256.3758389,0,
259.0604027,0,
261.7449664,0,
264.4295302,0,
267.114094,0,
269.7986577,0,
272.4832215,0,
275.1677852,0,
277.852349,0,
280.5369128,0,
283.2214765,0,
285.9060403,0,
288.590604,0,
291.2751678,0,
293.9597315,0,
296.6442953,0,
299.3288591,2,
302.0134228,0,
304.6979866,0,
307.3825503,0,
310.0671141,0,
312.7516779,0,
315.4362416,0,
318.1208054,0,
320.8053691,0,
323.4899329,0,
326.1744966,0,
328.8590604,0,
331.5436242,0,
334.2281879,0,
336.9127517,0,
339.5973154,0,
342.2818792,0,
344.966443,0,
347.6510067,0,
350.3355705,0,
353.0201342,0,
355.704698,0,
358.3892617,0,
361.0738255,0,
363.7583893,0,
366.442953,0,
369.1275168,0,
371.8120805,0,
374.4966443,0,
377.1812081,0,
379.8657718,0,
382.5503356,0,
385.2348993,0,
387.9194631,0,
390.6040268,0,
393.2885906,0,
395.9731544,0,
398.6577181,0,
