pulseheight,counts,
1.342281879,0,
4.026845638,1,
6.711409396,1,
9.395973154,9,
12.08053691,1,
14.76510067,0,
17.44966443,0,
20.13422819,0,
22.81879195,0,
25.5033557,0,
28.18791946,0,
30.87248322,0,
33.55704698,0,
36.24161074,0,
38.9261745,0,
41.61073826,0,
44.29530201,2,
46.97986577,0,
49.66442953,0,
52.34899329,0,
55.03355705,0,
57.71812081,0,
60.40268456,0,
63.08724832,0,
65.77181208,0,
68.45637584,1,
71.1409396,1,
73.82550336,0,
76.51006711,0,
79.19463087,0,
81.87919463,0,
84.56375839,2,
87.24832215,0,
89.93288591,1,
92.61744966,2,
95.30201342,0,
97.98657718,2,
100.6711409,65,
103.3557047,100,
106.0402685,108,
108.7248322,118,
111.409396,127,
114.0939597,142,
116.7785235,140,
119.4630872,142,
122.147651,155,
124.8322148,176,
127.5167785,155,
130.2013423,186,
132.885906,212,
135.5704698,185,
138.2550336,221,
140.9395973,208,
143.6241611,234,
146.3087248,199,
148.9932886,247,
151.6778523,257,
154.3624161,277,
157.0469799,288,
159.7315436,325,
162.4161074,363,
165.1006711,397,
167.7852349,460,
170.4697987,531,
173.1543624,590,
175.8389262,669,
178.5234899,830,
181.2080537,1022,
183.8926174,1288,
186.5771812,1580,
189.261745,2194,
191.9463087,2855,
194.6308725,4142,
197.3154362,5789,
200,9553,
202.6845638,18239,
205.3691275,33003,
208.0536913,10502,
210.738255,92,
213.4228188,17,
216.1073826,1,
218.7919463,3,
221.4765101,6,
224.1610738,4,
226.8456376,2,
229.5302013,6,
232.2147651,6,
234.8993289,12,
237.5838926,12,
240.2684564,14,
242.9530201,18,
245.6375839,28,
248.3221477,31,
251.0067114,32,
253.6912752,32,
256.3758389,29,
259.0604027,36,
261.7449664,40,
264.4295302,33,
267.114094,39,
269.7986577,22,
272.4832215,30,
275.1677852,33,
277.852349,21,
280.5369128,28,
283.2214765,23,
285.9060403,26,
288.590604,24,
291.2751678,19,
293.9597315,16,
296.6442953,25,
299.3288591,378,
302.0134228,66,
304.6979866,33,
307.3825503,24,
310.0671141,9,
312.7516779,3,
315.4362416,0,
318.1208054,0,
320.8053691,0,
323.4899329,0,
326.1744966,0,
328.8590604,0,
331.5436242,0,
334.2281879,0,
336.9127517,0,
339.5973154,0,
342.2818792,0,
344.966443,0,
347.6510067,0,
350.3355705,0,
353.0201342,0,
355.704698,0,
358.3892617,0,
361.0738255,0,
363.7583893,0,
366.442953,0,
369.1275168,0,
371.8120805,0,
374.4966443,0,
377.1812081,0,
379.8657718,0,
382.5503356,0,
385.2348993,0,
387.9194631,0,
390.6040268,0,
393.2885906,0,
395.9731544,0,
398.6577181,0,
